Episode0 TotalReward=-45.06740343769344 AverageLoss=0.124035117409 AverageValue=[[-1.02235782 -1.00134504]]
Episode1 TotalReward=-645.7975826753573 AverageLoss=0.0777099198865 AverageValue=[[-0.42599365 -0.44200668]]
Episode2 TotalReward=-233.97243401512225 AverageLoss=0.0588509481253 AverageValue=[[-0.38663477 -0.46881703]]
Episode3 TotalReward=-604.2218353572155 AverageLoss=0.0576270868476 AverageValue=[[-0.38008171 -0.44756693]]
Episode4 TotalReward=-52.28946055515179 AverageLoss=0.061400298334 AverageValue=[[-1.3550539  -1.35950029]]
Episode5 TotalReward=-455.0316617777065 AverageLoss=0.076568798418 AverageValue=[[ 0.14146072  0.09518103]]
Episode6 TotalReward=-72.44 AverageLoss=0.0743165106919 AverageValue=[[-0.39334095 -0.38037544]]
Episode7 TotalReward=-672.1191341590027 AverageLoss=0.0607223955964 AverageValue=[[-1.0472821  -1.05689299]]
Episode8 TotalReward=-694.0055721196017 AverageLoss=0.0640312778798 AverageValue=[[-0.91518867 -0.90924549]]
Episode9 TotalReward=-264.38749149952355 AverageLoss=0.0755935259611 AverageValue=[[-0.40624475 -0.4190658 ]]
Episode10 TotalReward=-279.40807959767807 AverageLoss=1.90283911947 AverageValue=[[-0.40387174 -0.4256548 ]]
Episode11 TotalReward=-47.384024996947915 AverageLoss=0.097500448902 AverageValue=[[-2.67827821 -2.57601643]]
Episode12 TotalReward=-284.0022972581585 AverageLoss=5.88134090409 AverageValue=[[-1.56795824 -1.59101319]]
Episode13 TotalReward=-301.67504572661005 AverageLoss=6.86884690887 AverageValue=[[-2.70754123 -2.73787045]]
Episode14 TotalReward=-55.5191250350091 AverageLoss=13.6083845383 AverageValue=[[-0.48175904 -0.38425872]]
Episode15 TotalReward=-465.25160701005103 AverageLoss=5.76986067183 AverageValue=[[-3.28523469 -3.31489563]]
Episode16 TotalReward=-238.39572004109016 AverageLoss=7.64406444209 AverageValue=[[-2.74873209 -2.75740242]]
Episode17 TotalReward=-65.97000000000003 AverageLoss=11.5836241168 AverageValue=[[-0.83455342 -0.85007131]]
Episode18 TotalReward=-171.16921075987023 AverageLoss=2.05920790043 AverageValue=[[-5.57758617 -5.48450422]]
Episode19 TotalReward=-117.84239368553217 AverageLoss=6.25833873484 AverageValue=[[-0.21891926 -0.19677953]]
Episode20 TotalReward=-273.5672207772241 AverageLoss=9.96964681782 AverageValue=[[-5.31964207 -5.2568326 ]]
Episode21 TotalReward=-545.7911183839686 AverageLoss=5.7865125643 AverageValue=[[-5.09868002 -5.10639286]]
Episode22 TotalReward=-342.07814042055406 AverageLoss=5.78586099952 AverageValue=[[-4.62571239 -4.70529604]]
Episode23 TotalReward=-115.52999999999982 AverageLoss=4.76811427409 AverageValue=[[-4.33570385 -4.38365555]]
Episode24 TotalReward=-212.40438987972675 AverageLoss=4.81444435627 AverageValue=[[-1.66270113 -1.55765831]]
Episode25 TotalReward=-65.44000000000003 AverageLoss=11.716366615 AverageValue=[[-6.00421715 -6.16196537]]
Episode26 TotalReward=-50.56000000000001 AverageLoss=2.74079823952 AverageValue=[[-5.32201815 -5.39509773]]
Episode27 TotalReward=1.8020990872966005 AverageLoss=15.0350914126 AverageValue=[[-5.05912256 -4.98970747]]
